,title_y,startYear,director,cast,overview,genres_x,runtimeMinutes,averageRating,numVotes,poster_path,original_language,average_popularity_cast,average_popularity_director,popularity,key
20,La Demoiselle et le dragon,2024,['Juan Carlos Fresnadillo'],"['Ray Winstone', 'Nick Robinson', 'Milo Twomey', 'Patrice Naiambana', 'Ulli Ackermann', 'Millie Bobby Brown', 'Angela Bassett', 'Brooke Carter', 'Robin Wright', 'Nicole Joseph']","Une jeune femme docile accepte d'épouser un beau prince et réalise que la famille royale a choisi de la sacrifier en remboursement d'une dette ancienne. Jetée dans une grotte abritant un dragon cracheur de feu, elle ne pourra compter que sur son intelligence et sur son courage pour survivre.","['Fantasy', 'Action', 'Adventure']",110,6.1,101893,https://image.tmdb.org/t/p/original/hOZAt7wASgabmtdXRWMloJfUw0D.jpg,en,16.8385,4.625,80.512,https://www.youtube.com/watch?v=V_2xuSeRD2Y
21,L'Idée d'être avec toi,2024,['Michael Showalter'],"['Nicholas Galitzine', 'Reid Scott', 'Jordan Aaron Hall', 'Cheech Manohar', 'Anne Hathaway', 'Ella Rubin', 'Annie Mumolo', 'Perry Mattfeld', 'Mathilda Gianopoulos', 'Meg Millidge']","Solène, une mère célibataire de 40 ans qui vit une idylle inattendue avec Hayes Campbell, 24 ans, le chanteur d'August Moon, le boys band le plus populaire de la planète.","['Romance', 'Drama', 'Comedy']",115,6.3,65198,https://image.tmdb.org/t/p/original/4mSxRx4RSZAQ7KXiLn9w8mswNhX.jpg,en,14.0147,7.633,106.829,https://www.youtube.com/watch?v=_b_X2fUkm44
22,Civil War,2024,['Alex Garland'],"['Wagner Moura', 'Nick Offerman', 'Jefferson White', 'Nelson Lee', 'Evan Lai', 'Stephen McKinley Henderson', 'Vince Pisani', 'Justin James Boykin', 'Kirsten Dunst', 'Cailee Spaeny']","Dans un futur proche où les États-Unis sont au bord de l'effondrement et où des journalistes embarqués courent pour raconter la plus grande histoire de leur vie : la fin de l'Amérique telle que nous la connaissons. Une course effrénée à travers une Amérique fracturée qui, dans un futur proche, est plus que jamais sur le fil du rasoir.","['War', 'Action', 'Drama']",109,7.0,194054,https://image.tmdb.org/t/p/original/4V06xpCUesnzXvkQav1q3RRlwxh.jpg,en,16.0672,15.869,170.351,https://www.youtube.com/watch?v=bRUApf5Aht8
23,Vice-versa 2,2024,['Kelsey Mann'],"['Tony Hale', 'Lewis Black', 'Amy Poehler', 'Maya Hawke', 'Kensington Tallman', 'Liza Lapira', 'Phyllis Smith', 'Ayo Edebiri', 'Lilimar', 'Grace Lu']","Riley, adolescente depuis peu, au moment où le Quartier Cérébral doit être démoli pour faire place à un événement totalement inattendu : de nouvelles Émotions ! Joie, Tristesse, Colère, Peur et Dégoût, qui ont longtemps su contrôler les choses avec succès, ne savent pas comment réagir à l'arrivée d'Anxiété. Et il semblerait qu'elle ne soit pas seule. Elle est venue accompagnée d'Embarras, Envie et Ennui.","['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",96,7.6,178999,https://image.tmdb.org/t/p/original/eHUWo4AiomQwG8EpWhvNNA1RMYz.jpg,en,11.375,9.692,617.052,https://www.youtube.com/watch?v=v0WsCyJ6MpQ
24,Le Flic de Beverly Hills : Axel F.,2024,['Mark Molloy'],"['Eddie Murphy', 'Joseph Gordon-Levitt', 'Judge Reinhold', 'John Ashton', 'Paul Reiser', 'Bronson Pinchot', 'Kevin Bacon', 'Jameison Walker II', 'Tony Jones', 'Taylour Paige']","Quarante ans après sa première enquête mémorable à Beverly Hills, le flic de Détroit Axel Foley revient faire ce qu'il fait le mieux : résoudre les crimes et semer le chaos.","['Action', 'Comedy', 'Crime']",118,6.5,73984,https://image.tmdb.org/t/p/original/yr9vkWlXuysDeb5A7i82E6sPaab.jpg,en,18.1967,0.594,93.193,https://www.youtube.com/watch?v=RTxyKLoosj0
25,Blue & Compagnie,2024,['John Krasinski'],"['Ryan Reynolds', 'John Krasinski', 'John Krasinski', 'Steve Carell', 'Louis Gossett Jr.', 'Alan Kim', 'Bobby Moynihan', 'Cailey Fleming', 'Phoebe Waller-Bridge', 'Fiona Shaw', 'Liza Colón-Zayas']","Une petite fille découvre qu'elle peut voir les amis imaginaires des autres. Elle se lance dans un voyage magique pour reconnecter les amis imaginaires oubliés avec leurs enfants, avant qu'ils ne disparaissent.","['Comedy', 'Fantasy', 'Family']",104,6.5,48746,https://image.tmdb.org/t/p/original/zC9tCqLSbBUpbyLcoPy5yySxt1D.jpg,en,20.731,27.163,247.656,https://www.youtube.com/watch?v=WLqiiRY5Vus
26,Equalizer 3,2023,['Antoine Fuqua'],"['Denzel Washington', 'Eugenio Mastrandrea', 'David Denman', 'Remo Girone', 'Andrea Scarduzio', 'Andrea Dodero', 'Daniele Perrone', 'Zakaria Hamza', 'Dakota Fanning', 'Gaia Scodellaro']","Depuis qu'il a renoncé à sa vie d'assassin au service du gouvernement, Robert McCall peine à enterrer les démons de son passé et trouve un étrange réconfort en défendant les opprimés. Alors qu'il pense avoir trouvé un havre de paix dans le sud de l'Italie, il découvre que ses amis sont sous le contrôle de la mafia locale. Quand les évènements prennent une tournure mortelle, McCall sait exactement ce qu'il doit faire : protéger ses amis en s'attaquant directement à la pègre.","['Action', 'Thriller', 'Crime']",109,6.8,134516,https://image.tmdb.org/t/p/original/go2gtucO5LT92jnU40pbD0LImgg.jpg,en,15.0855,3.132,133.544,https://www.youtube.com/watch?v=2L0ibmBgFV8
27,Renfield,2023,['Chris McKay'],"['Nicholas Hoult', 'Nicolas Cage', 'Ben Schwartz', 'Brandon Scott Jones', 'Adrian Martinez', 'Awkwafina', 'Shohreh Aghdashloo', 'Camille Chen', 'Bess Rous', 'Jenna Kanell']","Le mal ne saurait survivre une éternité sans un petit coup de pouce.  Dans cette version moderne du mythe de Dracula, Renfield est l’assistant torturé du maître le plus narcissique qui ait jamais existé : Dracula. Renfield est contraint par son maître de lui procurer des proies et de pourvoir à toutes ses requêtes, mêmes les plus dégradantes. Mais après des siècles de servitude, il est enfin prêt à s’affranchir de l’ombre du Prince des ténèbres. À la seule condition qu’il arrive à mettre un terme à la dépendance mutuelle qui les unit.","['Comedy', 'Horror']",93,6.4,103570,https://image.tmdb.org/t/p/original/lm3y4RNPu4aRDePsX5CkB9ndEdQ.jpg,en,29.1941,3.182,25.84,https://www.youtube.com/watch?v=u6YBbIx6SnQ
28,The Flash,2023,['Andy Muschietti'],"['Ezra Miller', 'Ezra Miller', 'Michael Keaton', 'Michael Keaton', 'Michael Shannon', 'Ron Livingston', 'Jeremy Irons', 'Sasha Calle', 'Sasha Calle', 'Maribel Verdú', 'Kiersey Clemons', 'Antje Traue', 'Saoirse-Monica Jackson']","Les mondes entrent en collision lorsque Barry, alias ""The Flash"", utilise ses pouvoirs pour voyager dans le temps afin de changer les événements du passé. Mais lorsque sa tentative de sauver sa famille modifie par inadvertance le futur, Barry se retrouve piégé dans une réalité où le Général Zod est revenu, avide de destruction, et il n'y a aucun super-héros vers qui se tourner. Enfin, à moins que Barry ne puisse faire sortir un Batman très différent de sa retraite et arrive à sauver un Kryptonien emprisonné… mais pas celui qu'il recherche. En fin de compte, pour sauver le monde dans lequel il se trouve et retourner dans le futur qu'il connaît, le seul espoir de Barry est de foncer. Mais faire le sacrifice ultime suffira-t-il à réinitialiser l'univers ?","['Adventure', 'Action', 'Science Fiction']",144,6.6,223368,https://image.tmdb.org/t/p/original/azio74W2qw7bNg7ePqzkWywwK1n.jpg,en,18.879384615384616,4.59,108.079,https://www.youtube.com/watch?v=jnZALBaXOe0
29,My Dear F***ing Prince,2023,['Matthew López'],"['Taylor Zakhar Perez', 'Nicholas Galitzine', 'Thomas Flynn', 'Michael Ayala-Cole', 'Uma Thurman', 'Jemma Redgrave', 'Bridget Benstead', 'Ellie Bamber', 'Rachel Hilson', 'Sarah Shahi']","Le fils de la présidente américaine, Alex Claremont-Diaz, est un beau parti. Cependant, il a une altercation avec son homologue royal britannique, le prince Henry, prise en photo par des paparazzis. Cette querelle remet en cause les relations diplomatiques anglo-américaines. Les deux familles organisent alors un rapprochement amical entre les deux jeunes hommes.","['Comedy', 'Romance']",118,6.9,54609,https://image.tmdb.org/t/p/original/5OaYaunPjCbuqaSQ8KgDM01QMOr.jpg,en,14.0095,0.815,59.17,https://www.youtube.com/watch?v=9gn-slp_H9A
